order_num,order_letter,name_en,name_mn,category_en,category_mn,has_detailed_plan,has_approved_funding,has_begun_implementation,is_complete,original_timeline_en,original_timeline_mn,description_en,description_mn,status,status_description_en,status_description_mn,status_2019,tpc_comments
1,,Re-establish a grazing system to adjust for lost pasture,Алдагдсан бэлчээрт тохируулга хийхийн тулд бэлчээрийн тогтолцоог дахин боловсруулах,Pasture,Бэлчээр,N,Y,N,N,Plan developed by Q4 2017,2017 улиралд төлөвлөгөө гарсан,"OT built its mine atop pasture lands where herders used to graze their animals. With the loss of this land, pasture is more scarce.</p> <p>OT and the Khanbogd Soum government agreed to come up with a new pasture use plan to mitigate the effects of overcrowding and overgrazing.","Малчид малаа бэлчээдэг байсан  бэлчээрийн газарт ОТ уурхайгаа байгуулсан. Энэ газар алдагдсанаар бэлчээр улам ховорджээ.</p> <p>ОТ болон Ханбогд сумын захиргаа бэлчээрийн их ачаалал, даац хэтрэлтийг бууруулахын тулд бэлчээр ашиглалтын төлөвлөгөөг шинээр боловсруулахаар тохиролцсон.",delayed,"This commitment is DELAYED. An updated pasture use plan has not yet been approved by the Soum Khural.</p> <p>A professional organization developed a recommendation for pasture management. However, when it presented this plan at Bagh meetings, the major recommendation to divide herders into pasture “user groups” was rejected by herders.</p> <p>To fulfill this commitment, the TPC must continue their efforts to re-establish a grazing system, working in close consultation with herders to develop a pasture use plan that meets their needs. The TPC had previously marked this commitment as complete, but in April of 2020, the TPC developed an action plan to do consultations with herders in the near future with the goal of educating herders on the pasture management plan and generate ideas specific to the Gobi desert.  This measure is needed to address ongoing issues with pasture crowding and should be coordinated with related commitments to build new wells (#12) particularly in areas where it could open up additional pastures (#3).","Энэ үүрэг амлалтын хэрэгжилт ХОЦОРЧ байна. Бэлчээр ашиглалтын шинэ төлөвлөгөөг сумын хурлаар хараахан батлаагүй байна.</p> <p>Мэргэжлийн байгууллага бэлчээрийн менежментийн зөвлөмж боловсруулсан. Гэвч энэ төлөвлөгөөг багуудын хурал дээр танилцуулах үеэр малчдыг бэлчээр “ашиглагчдын бүлэгт” хуваах тухай гол зөвлөмжийг малчид хүлээж аваагүй болно.</p> <p>Энэ үүрэг амлалтыг хэрэгжүүлэхийн тулд ГТЗ малчидтай сайтар зөвлөлдөн, тэдний хэрэгцээг хангахуйц бэлчээр ашиглалтын төлөвлөгөөг боловсруулж, бэлчээрийн тогтолцоог шинэчлэх хүчин чармайлтаа үргэлжлүүлэх хэрэгтэй. ГТЗ өмнө нь энэ үүрэг амлалтыг биелсэн хэмээн тэмдэглэж байсан боловч малчдад бэлчээрийн менежментийн боловсрол олгох, Говь цөлийн нөхцөлд тохирох онцгой санал хүсэлт цуглуулах зорилгоор ойрын үед малчидтай зөвлөлдөх арга хэмжээний төлөвлөгөөг ГТЗ 2020 оны 4 дүгээр сард боловсруулан гаргасан. Бэлчээрийн даац хэтрэлттэй холбоотой байнга гарч буй асуудлуудыг шийдвэрлэхийн тулд ийм арга хэмжээ авах шаардлагатай бөгөөд үүнийг ялангуяа нэмэлт бэлчээрээр ашиглах газруудад (3) шинэ худаг гаргах гэх мэт холбогдох үүрэг амлалттай уялдуулах нь чухал (12).",delayed,"According to TPC assessment the implementation is 40% i.e. IN PROGRESS: The Pasture management plan for Khanbogd soum was developed by a professional organization in 2019. This is a project with financing of 320 million tugrugs provided by “Goviin Oyu” DSF and implemented in the territories of four eastern soums of Umnugovi aimag. The organization that developed the Pasture Management Plan presented it to TPC and herders, and it was not supported by the herders at the bagh citizens’ public meetings. A detailed action plan on measures to be taken in the future has been developed at April 2020 meeting of TPC."
2,,Reduce herder actions to lock wells / limit pasture access (signed user contracts),"Малчид худаг цоожлох, бэлчээрийн хүртээмжид хязгаар тавих явдлыг багасгах (гарын үсэг зурсан ашиглагчийн гэрээ)",Pasture,Бэлчээр,Y,N/A,N,N,237 signed contracts by Q3 2017,2017 оны 3-р улирал гэхэд 237 гэрээ байгуулах,"The OT mine's use of water and pasture lands has increased pressure on herders for these important resources. In order to protect increasingly scarce water and pasture, some herders had resorted to locking state-owned wells and restricting access to land. The Khanbogd Soum government with support from the TPC committed to sign contracts with 237 herders to ensure free and open access to state owned water points and land.","ОТ-н уурхайд ус, бэлчээрийн газрыг ашигласнаар эдгээр чухал нөөцийг ашигладаг малчдад учрах дарамт ихэссэн. Улам их ховордож буй бэлчээр, усаа хамгаалахын тулд зарим малчид улсын мэдлийн худгийг цоожлох, бэлчээртээ оруулахгүй хязгаарлах болжээ. Улсын мэдлийн уст цэг, бэлчээрийн газрыг чөлөөтэй, нээлттэй ашиглах явдлыг хангахын тулд Ханбогд сумын засаг захиргаа ГТЗ-ийн дэмжлэгтэйгээр 237 малчинтай гэрээ байгуулах үүрэг хүлээсэн.",delayed,"This commitment is DELAYED. The original timeline in the agreement called for contracts to be signed with all users of state owned water access points by Q3 2017. Contract language has been approved by the TPC. However, the government’s plan clarified that contracts will only apply to engineered or deep wells (not shallow or hand wells). As of May 2020, no contracts had been signed yet.",Энэ үүрэг амлалтын хэрэгжилт ХОЦОРЧ БАЙНА. Гэрээнд анхлан зааснаар бол 2017 оны 3-р улирал гэхэд улсын мэдлийн уст цэгийг ашигладаг бүх малчинтай гэрээ байгуулсан байх ёстой. ГТЗ гэрээний төслийг баталсан. Гэхдээ засаг захиргааны төлөвлөгөөнд зөвхөн инженерийн хийцтэй худаг эсвэл гүний худагт л (гүехэн гүний эсвэл гар худгууд биш) гэрээ байгуулна гэж тодотгож өгчээ. 2020 оны 5 дугаар сарын байдлаар нэг ч гэрээ байгуулаагүй байв. ,delayed,"According to TPC assessment the implementation is 70% i.e. GOOD FULFILLMENT: As of April 2020, a preparation is completed to sign contracts with all well possessors. Local government is planning to conclude contracts only for wells with engineering construction. "
3,,Open additional pasture use through well building program (#12); clarify herder rights to possession,Худаг барих хөтөлбөрөөр дамжуулан бэлчээр нэмж гаргах (#12); малчдын эзэмшлийн эрхийг тодорхой болгох,Pasture,Бэлчээр,N,N/A,N,N,Irrigate all reserve pastures by 2018,Бүх нөөц бэлчээрийг 2018 он гэхэд усжуулах,"To address increased scarcity of water and pasture, the Khanbogd Soum government with support from OT agreed to build new wells on reserve pastureland (see commitment #12), with a goal to make more pastureland accessible for regular use by herders. These changes were to be reflected in a Soum government pasture irrigation policy and pasture use plan (see commitment #1). This commitment also includes clarifying herders' rights to possession regarding any new wells built. ","Ус, бэлчээрийн даамжирч буй хомсдлыг шийдвэрлэх, малчид байнга ашиглаж болох бэлчээрийн газрыг нэмэгдүүлэхийн тулд Ханбогд сумын засаг захиргаа ОТ-н дэмжлэгтэйгээр нөөц бэлчээрийн газарт шинэ худаг ус барихаар тохирсон (үүрэг амлалт 12-г үзнэ үү). Эдгээр өөрчлөлтүүд нь сумын засаг захиргааны бэлчээр усжуулалтын бодлого, бэлчээр ашиглалтын төлөвлөгөөнд тусгагдана (үүрэг амлалт 1-г үзнэ үү).  Түүнчлэн энэ үүрэг амлалтын хүрээнд шинээр баригдах аливаа худгийн тухайд малчдын эзэмшлийн эрхийг тодорхой болгохоор заасан.",not_started,This commitment is NOT YET STARTED. The commitment called for the irrigation of all possible reserve pastures by 2018. The reserve pastures have still not been identified. The TPC plans to identify reserve pastures and work towards building deep wells in those areas. The TPC should ensure that wells built carry out their intended purpose to open up additional land to herding.,"Энэ үүрэг амлалтын хэрэгжилт ЭХЛЭЭГҮЙ байна. Энэ үүрэг амлалтын хүрээнд 2018 он гэхэд бүх нөөц бэлчээрийг усжуулах үүрэг хүлээсэн. Нөөц бэлчээрийн газрыг тогтоогоогүй л байна. ГТЗ нөөц бэлчээрийн газрыг тодорхойлон, тэдгээр газарт гүний худаг барих ажил хийх төлөвлөгөөтэй. Шинээр гаргасан худгууд мал аж ахуйд нэмэлт бэлчээр бий болгох зорилтыг хэрэгжүүлэхүйц байх явдлыг ГТЗ хангуулах ёстой.",not_started,"According to TPC assessment the implementation is 0% i.e. NOT STARTED: A detailed action plan on measures to be taken in the future has been developed at April 2020 meeting of TPC. Since the establishment of Agreements on complaint resolution, works on building new wells and water points through OT financing are being carried out, therefore per OT assessment it is suggested to conclude the implementation as IN PROGRESS. Particularly, as of 4th quarter of 2019, OT handed over to local government 14 water exploration boreholes for herders use; there were newly built 5 hand wells and 7 deep drilled wells.  These water sources have provided some possibilities to use additional pastures improving pasture water supply and. "
4,,"Support local government on pasture management (technical trainings, provision of experts)","Орон нутгийн засаг захиргаа бэлчээрийн менежмент хийхэд нь дэмжлэг үзүүлэх (мэргэжлийн сургалтууд, шинжээчид томилон ажиллуулах)",Pasture,Бэлчээр,Y,Y,Y,N,Send 5 experts to trainings by Q3 2017,2017 оны 3-р улирал гэхэд 5 мэргэжилтэн сургалтанд хамруулсан байх ,"The Soum government, as a significant partner in the implementation of the agreements, committed to pursuing technical trainings of its staff on pasture and other related issues to build the local capacity of the government to support implementation of the agreements.","Сумын засаг захиргаа Гэрээг хэрэгжүүлэх гол чухал талын хувьд ажилтнуудаа бэлчээр болон бусад асуудлаар мэргэжлийн сургалтанд хамруулж, орон нутгийн засаг захиргааг гэрээ хэрэгжүүлэх чадавхтай болгох үүрэг хүлээсэн.",in_progress,"This commitment is IN PROGRESS. The original commitment called for five experts to be trained by Q3 of 2017. The Soum government has 5 staff positions that should be trained in pasture management, however, only one person was available for work when we visited in June 2019. Of the three staff hired to the Agricultural Department, two were on maternity leave. The government had to wait until October 2019 to hire two additional agricultural specialists in order to give them time to pass the public servant examination.  Given changes in local government staffing, two additional specialists will need to be trained to ensure the unit is sufficiently staffed with five trained experts.",Энэ үүрэг амлалт ХЭРЭГЖИЖ БАЙНА. Үүрэг амлалтанд анхлан зааснаар сумын захиргааны 5 албан тушаалд ажиллах ажилтныг бэлчээрийн менежментээр мэргэшүүлэн сургах ёстой бөгөөд бид 2019 оны 6 сард очиход нэг хүн л ажиллах боломжтой байсан. ХААГ-ын 3 ажилтнаас 2 нь жирэмсний чөлөөтэй байв. Сумын засаг захиргаа хөдөө аж ахуйн 2 мэргэжилтэн ажилд авахын тулд 2019 оны 10 сард болох  төрийн албаны шалгалтыг хүлээж байна. Орон нутгийн засаг захиргааны орон тооны өөрчлөлттэй холбоотойгоор тухайн нэгжийг мэргэжсэн таван ажилтнаар хангахын тулд хоёр мэргэжилтнийг нэмж сургах хэрэгтэй болно.,in_progress,"According to TPC assessment the implementation is 90% i.e. GOOD FULFILLMENT: As of 4th quarter of 2017, all 5 members of working group on pasture monitoring have been involved in the training, so the commitment is completed. as of April 2020 TPC has concluded that there is a need to train 2 more specialists considering the changes in vacancies and work force of local government. Therefore, per OT assessment it is suggested to consider this commitment as COMPLETED."
5,,"TPC to actively support herders, existing institutions, and traditional ways to resolve herding conflicts","Мал маллагаатай холбоотой маргаантай асуудлыг шийдвэрлэхийн тулд ГТЗ малчид, одоо үйл ажиллагаа явуулж буй байгууллагуудыг дэмжих, уламжлалт арга барил ашиглах явдлыг идэвхтэй хөхүүлэх ",Pasture,Бэлчээр,N,N/A,N,N,Q3 2017,2017 оны 3-р улирал,"In response to rising and at times violent disputes among herders related to water and pasture use, the Soum Governor issued a decree on open access to water points and prohibition on use of winter pastures during summer months. Under Mongolia law, water and pasture are generally for public use. It was thought that more was needed from the government to enforce the law and prevent restrictions on access.  This commitment seeks to support herders in settling disputes about water and pasture using traditional and other mechanisms and requires the TPC to actively promote enforcement of the governor's decree.","Ус, бэлчээр ашиглахтай холбоотойгоор малчдын дунд өсөн нэмэгдэж буй зарим үед ширүүн өрнөх болсон маргааныг шийдвэрлэх үүднээс уст цэгүүдэд чөлөөтэй нэвтрүүлэх, өвлийн бэлчээрийг зуны улиралд ашиглахыг хориглох тухай захирамжийг Сумын засаг дарга гаргасан. Монгол улсын хуулиар ус, бэлчээр ерөнхийдөө нийтийн хэрэгцээнд зориулагдсан байдаг. Иймд засаг захиргаа хуулийн хэрэгжилтийг хангуулж, хаалт хориг тавих явдлаас сэргийлэхийн тулд илүү их зүйл хийх хэрэгтэй болов уу.  Энэ үүрэг амлалт нь ус, бэлчээрийн маргааныг уламжлалт аргаар болон өөр бусад механизм ашиглан шийдвэрлэхийг дэмжих зорилготой бөгөөд засаг даргын захирамжийн биелэлтийг хангуулахад  ГТЗ-ийн зүгээс идэвхтэй дэмжлэг үзүүлэх шаардлагатай.",not_started,"This commitment is NOT STARTED. It was thought that a resolution must be passed to help enforce the governor's decree, but trying to pass enforcement actions, such as fining those who restrict access to water points and pasture, is difficult to implement. As an alternative, herder representatives to the TPC agreed to organize a campaign to promote the soum governor’s decree. The TPC should actively engage on support mechanisms to help herders resolve disputes.","Энэ үүрэг амлалтыг хэрэгжүүлж ЭХЛЭЭГҮЙ байна. Засаг даргын захирамжийн хэрэгжилтийн хангахын  тулд тогтоол шийдвэр гаргах ёстой гэж байсан, гэхдээ уст цэгүүдэд бусдыг оруулахгүй байгаа хүмүүсийг торгох гэх мэт албадлагын арга хэмжээг хэрэгжүүлэхэд хүндрэлтэй. ГТЗ дэх Малчдын төлөөлөгчид сумын засаг даргын захирамжийг сурталчлах ажил зохион байгуулах бас нэг хувилбарыг тохирчээ. Малчид маргаанаа шийдвэрлэхэд туслах механизмыг ГТЗ идэвхтэй ашиглах хэрэгтэй.",not_started,According to PTC assessment the implementation is 70% i.e. GOOD FULFILLMENT: Herders’ representatives agreed to organize measures to introduce to the herders the ordinance issued by the Soum Governor. 
6,,Document and secure herder customary land and resource use rights (camp cadaster),"Газар, усны нөөц ашиглах малчдын уламжлалт эрхийг баримтжуулан баталгаажуулах (бууцны кадастр)",Pasture,Бэлчээр,Y,N,Y,Y,2018,2018,"The government agreed to support herders to secure customary land rights by organizing a camp cadaster entry campaign. When herders register their camp, including any structures, in the cadaster, they receive a property certificate. This in turn allows herders to access credit by using their property as collateral.","Малчид газар, усны нөөц ашиглах уламжлалт эрхээ баримтжуулан баталгаажуулахад нь туслахын тулд сумын засаг захиргаа бууцны кадастрийн мэдээлэл бүрдүүлэх аян өрнүүлэхээр тохирсон. Малчид бууцан дээрээ байгаа аливаа байгууламжийг хамруулан бууцаа бүртгэлд оруулснаар тэдэнд хөрөнгийн гэрчилгээ олгоно. Ингэснээр малчид хөрөнгөө барьцаалан зээл авах боломжтой болох юм.",in_progress,"This commitment was IN PROGRESS and close to completion. In 2019, the government organized a campaign in each bagh to complete the cadaster. As of April 2020, 373 herders (or about 80% of all registered herders) had their winter and spring camps mapped and registered.  Not all herders who requested registration of their camps had their camps included in the cadaster but any herder who still wants their camp mapped may do so by making a request at the government’s office in the Soum center. Herder representatives will also engage in a campaign to ensure remaining herders are aware of how to get their camps mapped.","Энэ үүрэг амлалт ХЭРЭГЖИЖ дуусах шатандаа байна. 2019 онд сумын засаг захиргаа кадастрийн бүртгэлийг дуусгах ажлыг баг тус бүрт зохион байгуулсан. 2020 оны 4 дүгээр сарын байдлаар 373 (нийт бүртгэгдсэн малчдын 80% орчим) малчин өөрсдийн өвөлжөө, хаваржааны зургийг хийлгэн, бүртгүүлсэн байна. Өөрсдийн бууцаа кадастрт оруулах хүсэлт гаргасан малчид бүгд бууцаа кадастрийн бүртгэлд оруулж чадаагүй ч бууцны зураг хийлгэх хүсэлтэй аливаа малчин сумын төв дэх орон нутгийн засаг захиргаанд өргөдөл гарган хийлгүүлж болно. Бууцны зураг хэрхэн хийлгэх талаар бусад үлдсэн малчдад мэдээлэн сурталчилах ажлыг Малчдын төлөөлөгчид хийх юм.",in_progress,"According to PTC assessment the implementation is 80% i.e. GOOD FULFILLMENT:  As of April 2020, in total 373 herders (80%) have got cadastral maps for their winter or spring camps done. Local government is planning to complete cadastral mapping for the remaining winter or spring camps in the near future. Herders’ representatives shall carry out works to train and advocate herders on how to get land cadastral maps done."
7,,Detailed analysis of increased livestock numbers and absentee livestock ownership,"Малын тооны өсөлт, тавиул малын өмчлөлийг тогтоох илүү дэлгэрэнгүй судалгаа шинжилгээ хийх",Pasture,Бэлчээр,N,N,Y,N,List of livestock owners by Q4 2017,2017 оны 4-р улирал гэхэд мал өмчлөгчдийн жагсаалт гаргах,"As livestock numbers continue to rise, this puts greater urgency on the local government and herders to understand the growth in livestock and develop solutions for managing limited resources of pasture and water necessary for the livestock's survival. The government committed to carrying out a more detailed analysis of livestock numbers and “absentee owners” who hire other people to look after their herds. The stated goal was to achieve a clear understanding of livestock ownership and growth in livestock.","Малын тоо толгой өсөн нэмэгдсээр байгаа тул мал өсч буй шалтгааныг тогтоож, малд зайлшгүй хэрэгтэй ус, бэлчээрийн хязгаарлагдмал нөөцийг удирдах шийдлийг боловсруулах нь сумын засаг захиргаа, малчдын хувьд нэн чухал асуудал болж байна. Засаг захиргаа малын тоо толгой болон бусдаар малаа маллуулдаг “эзгүй малчдын” талаар нарийвчилсан дүн шинжилгээ хийх үүрэг хүлээсэн. Тавигдсан зорилго нь малын өмчлөл, малын тооны өсөлтийн талаар тодорхой ойлголттой болох явдал юм.",in_progress,"This commitment is IN PROGRESS. The government was supposed to have completed counting the livestock owning citizens in Q4 of 2017. The government has done this and now conducts an annual survey of livestock herded by others. However, it has not conducted any analysis, and is at the moment only monitoring livestock numbers.</p> <p>At the June 2019 TPC meeting, the TPC agreed to two additional steps to move this commitment forward: 1) conduct a study to collect data on Khanbogd soum livestock located in other soums and aimags; and 2) conduct a survey on the number of soum herders and the locations of livestock herded by others and use the information for pasture management.</p> <p>The TPC has marked this commitment as completed, but the commitment calls for more than just the collection of livestock numbers. It requires analyzing data in an actionable way that will help them develop a better pasture management strategy. In response, the TPC has stated that the local government will conduct analysis on its data to inform the pasture management plan to be developed in commitment #1 on re-establishing a grazing system.","Энэ үүрэг амлалт ХЭРЭГЖИЖ байгаа. Засаг захиргаа 2017 оны 4-р улиралд мал бүхий иргэдийн тоог гаргаж дуусгах ёстой байв. Засаг захиргаа энэ ажлыг гүйцэтгэсэн, одоо тавиул малын судалгааг жил бүр хийж байна. Гэхдээ ямар нэг дүн шинжилгээ хийгээгүй, одоогоор зөвхөн малын тоо толгойд хяналт тавьж байна. ГТЗ-ийн 2019 оны 6-р сарын хурлаар энэ үүрэг амлалтын хэрэгжилтийг ахиулахын тулд ГТЗ дараах 2 зүйлийг хийхээр тохирсон, үүнд: 1) бусад аймаг, сумдын нутагт байгаа Ханбогд сумын малын талаар мэдээлэл цуглуулах судалгаа хийх, 2) сумын малчдын тоо болон тавиул малын байршлын судалгаа хийж, уг мэдээллийг  бэлчээрийн менежментэд ашиглах. ГТЗ энэ үүрэг амлалтыг биелсэн гэж үзсэн, гэхдээ тухайн үүрэг амлалтын хүрээнд зөвхөн малын тоо цуглуулаад зогсохгүй өөр их зүйл хийх хэрэгтэй. Бэлчээрийн менежментийн сайн стратеги боловсруулахад тус болохуйц байдлаар мэдээлэлд бодит дүн шинжилгээ хийх шаардлагатай. Орон нутгийн захиргаа бэлчээрийн тогтолцоог шинэчлэх үүрэг амлалт 1-ийн хүрээнд боловсруулах бэлчээрийн менежментийн төлөвлөгөөг гаргахдаа өөрийн мэдээлэлд хийсэн дүн шинжилгээг ашиглана хэмээн ГТЗ-өөс ирүүлсэн хариунд дурджээ.",in_progress,"According to TPC assessment the implementation is 100% i.e. COMPLETED.  Absentee livestock are registered in detail by livestock type, and a statistical analysis is being conducted during  the year end livestock census organized by the local government. This detailed information will be used by the local government to develop pasture management plan of Khanbogd soum – commitment stated in 1.1 of Agreement on herders’ complaint resolution.  "
8,,Consider and decide whether to build speed bumps around animal crossings on ОТ-KB road,"ОТ-Ханбогдын зам дээрх мал амьтны гарамуудын ойролцоо хурд сааруулагч хийх асуудлыг хэлэлцэн, шийдвэр гаргах",Pasture,Бэлчээр,N/A,N/A,N/A,N/A,N/A,Байхгүй,This commitment was discussed in the TPC and all parties agreed it was not necessary to implement this commitment.,"Энэ үүрэг амлалтыг ГТЗ-өөр хэлэлцээд, бүх талууд үүнийг хэрэгжүүлэх шаардлагагүй гэж тохирсон.",N/A,N/A,БАЙХГҮЙ,N/A,N/A
9,,Rehabilitate pasture in sites disturbed by past OT activities,ОТ-н урьд өмнө хийгдсэн ажлын улмаас эвдэрсэн бэлчээрийн газруудыг нөхөн сэргээх,Pasture,Бэлчээр,Y,Y,Y,N,2017-2027 in phases,2017-2027 онуудад үе шаттайгаар,"OT agreed to rehabilitate eight sites that were previously used by the mine. The purpose of rehabilitating these sites is to restore them to pasture-producing land, to shorten the time that these sites might produce dust if disturbed and to minimize risks of accidents in quarries.","ОТ өмнө ашиглаж байсан 8 газарт нөхөн сэргээлт хийхээр тохирсон. Эдгээр газарт нөхөн сэргээлт хийснээр бэлчээрийн газар дахин бий болж, тоос шороо үүсэх явдлыг эрт зогсоон, карьерууд орчим осол гарах эрсдлийг бууруулна.",in_progress,"This commitment is IN PROGRESS. The time originally estimated for completing rehabilitation is 2017 to 2027. OT regularly reports to the TPC on rehabilitation progress, which for some areas will take years to complete. As of May 2020, four of the eight sites have been rehabilitated, and another three are currently in progress. ","Энэ үүрэг амлалт ХЭРЭГЖИЖ байна. Анх төлөвлөснөөр нөхөн  сэргээлтийн ажлыг 2017-2027 оны хооронд хийж дуусгана. ОТ нөхөн сэргээлтийн явцын талаар ГТЗ-д тогтмол тайлагнадаг, зарим газарт энэ ажил хэдэн жил үргэлжлэх юм. 2020 оны 5 дугаар сарын байдлаар 8 газраас дөрвийг нь нөхөн сэргээсэн, гурван газарт ажил үргэлжилж байна.",in_progress,According to TPC assessment the implementation is 70% i.e. GOOD FULFILLMENT: OT provides progress reports to TPC on regular basis on the works carried out on 8 sites identified for rehabilitation.
10,,Continue to implement 2015 protocol allowing temporary livestock grazing within OT fence,Уурхайн хашаалсан талбайд түр хугацаагаар мал бэлчээрлүүлэх 2015 оны журмыг үргэлжлүүлэн хэрэгжүүлэх,Pasture,Бэлчээр,Y,N/A,Y,Y,Ongoing,Хийгдэж байгаа,"When OT built its mine, it placed a fence around its production facilities and prevented herders from grazing their animals on their usual pastures. With this commitment, OT agreed to allow herders to continue grazing their animals in certain areas within the fenced production site of OT. OT has stated in the agreement that this is a temporary situation and the grazing area may not be available for use in the future once mine expansion plans get underway.","ОТ уурхайгаа байгуулахдаа үйлдвэрлэлийн байгууламжаа тойруулан хашаа татаж, малчид хуучин бэлчээртээ малаа бэлчээх боломжгүй болсон. Энэ үүрэг амлалтын хүрээнд ОТ-н үйлдвэрлэлийн талбайн тодорхой хэсэгт малчид малаа бэлчээхийг ОТ зөвшөөрсөн. Гэхдээ энэ бол түр зуурын зохицуулалт бөгөөд  цаашид уурхайн өргөжилтийн төлөвлөгөө хэрэгжих цагт мал бэлчээх боломжгүй болж магадгүй гэдгийг ОТ гэрээнд тусгасан.",completed,This commitment is COMPLETED and involves ongoing implementation. The TPC should continue to monitor whether the area inside the fence is available for grazing and whether herders are aware of the option to use this grazing area.,"Энэ үүрэг амлалт БИЕЛСЭН, хэрэгжилт үргэлжилсээр байх болно. ГТЗ уурхайн хашаан дотор мал бэлчээх боломж байгаа эсэх, малчид энэ бэлчээрийг ашиглаж болох талаар мэдээлэлтэй эсэхэд хяналт тавьж байх болно.",completed,According to TPC assessment the implementation is 100% i.e. COMPLETED:TPC identified this commitment as a work to be carried out continuously. 
